start_station_name,end_station_name,trip_count
11 St & Washington St,11 St & Washington St,1119
11 St & Washington St,12 Ave & W 40 St,1
11 St & Washington St,12 St & Sinatra Dr N,248
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,391
11 St & Washington St,4 St & Grand St,349
11 St & Washington St,6 St & Grand St,313
11 St & Washington St,7 St & Monroe St,241
11 St & Washington St,8 St & Washington St,421
11 St & Washington St,9 St HBLR - Jackson St & 8 St,485
11 St & Washington St,Adams St & 11 St,314
11 St & Washington St,Adams St & 2 St,384
11 St & Washington St,Astor Place,1
11 St & Washington St,Baldwin at Montgomery,8
11 St & Washington St,Bergen Ave & Sip Ave,7
11 St & Washington St,Bergen Ave & Stegman St,1
11 St & Washington St,Bloomfield St & 15 St,218
11 St & Washington St,Broadway & W 51 St,1
11 St & Washington St,Broadway\t& W 48 St,3
11 St & Washington St,Brunswick & 6th,32
11 St & Washington St,Brunswick St,8
11 St & Washington St,Christ Hospital,14
11 St & Washington St,Church Sq Park - 5 St & Park Ave,552
11 St & Washington St,City Hall,18
11 St & Washington St,City Hall - Washington St & 1 St,1395
11 St & Washington St,Clinton St & 7 St,271
11 St & Washington St,Clinton St & Newark St,530
11 St & Washington St,Columbus Dr at Exchange Pl,39
11 St & Washington St,Columbus Drive,25
11 St & Washington St,Columbus Park - Clinton St & 9 St,241
11 St & Washington St,Communipaw & Berry Lane,3
11 St & Washington St,Dixon Mills,9
11 St & Washington St,E 30 St & Park Ave S,1
11 St & Washington St,E 47 St & Park Ave,4
11 St & Washington St,E 48 St & 5 Ave,1
11 St & Washington St,E 50 St & Park Ave,2
11 St & Washington St,E 51 St & 2 Ave,1
11 St & Washington St,Essex Light Rail,7
11 St & Washington St,Fairmount Ave,2
11 St & Washington St,Fulton St & William St,1
11 St & Washington St,Glenwood Ave,1
11 St & Washington St,Grand St,31
11 St & Washington St,Grand St & 14 St,211
11 St & Washington St,Grove St PATH,25
11 St & Washington St,Hamilton Park,50
11 St & Washington St,Harborside,59
11 St & Washington St,Heights Elevator,45
11 St & Washington St,Hilltop,14
11 St & Washington St,Hoboken Ave at Monmouth St,170
11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1208
11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1244
11 St & Washington St,Hudson St & 4 St,667
11 St & Washington St,JC Medical Center,17
11 St & Washington St,Jersey & 3rd,21
11 St & Washington St,Jersey & 6th St,22
11 St & Washington St,Journal Square,4
11 St & Washington St,Lafayette Park,9
11 St & Washington St,Leonard Gordon Park,17
11 St & Washington St,Lexington Ave & E 24 St,1
11 St & Washington St,Liberty Light Rail,14
11 St & Washington St,Lincoln Park,5
11 St & Washington St,Madison St & 1 St,270
11 St & Washington St,Madison St & 10 St,488
11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,209
11 St & Washington St,Manila & 1st,21
11 St & Washington St,Marin Light Rail,35
