date,bike_rides_daily,avgTemp
2022-01-01,578,1.16
2022-01-02,1229,1.14
2022-01-03,818,0.1399999999999999
2022-01-04,918,-0.27
2022-01-05,910,0.32
2022-01-06,1290,0.49
2022-01-07,444,0.0699999999999999
2022-01-08,675,-0.25
2022-01-09,610,0.1399999999999999
2022-01-10,804,0.16
2022-01-11,659,-0.54
2022-01-12,1028,-0.19
2022-01-13,1180,0.4
2022-01-14,1084,0.48
2022-01-15,662,-0.67
2022-01-16,482,-0.8
2022-01-17,725,0.39
2022-01-18,1034,0.18
2022-01-19,1371,0.32
2022-01-20,825,0.51
2022-01-21,794,-0.6
2022-01-22,875,-0.5900000000000001
2022-01-23,935,-0.0699999999999999
2022-01-24,1024,-0.02
2022-01-25,1271,0.36
2022-01-26,1146,-0.2299999999999999
2022-01-27,1129,-0.42
2022-01-28,887,0.01
2022-01-29,107,-0.48
2022-01-30,288,-0.71
2022-01-31,546,-0.3399999999999999
2022-02-01,759,-0.1699999999999999
2022-02-02,1026,0.2299999999999999
2022-02-03,650,0.64
2022-02-04,496,0.58
2022-02-05,827,-0.2799999999999999
2022-02-06,797,-0.48
2022-02-07,776,0.05
2022-02-08,1346,0.41
2022-02-09,1422,0.2799999999999999
2022-02-10,1548,0.63
2022-02-11,1747,0.86
2022-02-12,1967,1.1800000000000002
2022-02-13,571,0.2799999999999999
2022-02-14,856,-0.43
2022-02-15,1074,-0.47
2022-02-16,1354,0.16
2022-02-17,1656,1.16
2022-02-18,1258,0.99
2022-02-19,795,0.01
2022-02-20,919,-0.26
2022-02-21,1440,0.41
2022-02-22,1045,0.5599999999999999
2022-02-23,1811,1.44
2022-02-24,1299,0.11
2022-02-25,836,0.08
2022-02-26,1191,-0.11
2022-02-27,1057,0.24
2022-02-28,1143,0.08
2022-03-01,1510,0.26
2022-03-02,1798,0.77
2022-03-03,1445,0.5599999999999999
2022-03-04,1460,-0.19
2022-03-05,1447,0.31
2022-03-06,1631,0.96
2022-03-07,1781,1.82
2022-03-08,1596,0.8699999999999999
2022-03-09,730,0.32
2022-03-10,1656,0.4
2022-03-11,1951,0.72
2022-03-12,456,0.51
2022-03-13,780,-0.2299999999999999
2022-03-14,1725,0.53
2022-03-15,2120,1.16
2022-03-16,2239,1.36
2022-03-17,1404,0.82
2022-03-18,2701,1.39
2022-03-19,2552,1.31
2022-03-20,1886,1.4300000000000002
2022-03-21,2001,1.04
2022-03-22,2048,1.0699999999999998
2022-03-23,1648,0.72
2022-03-24,1406,0.5700000000000001
2022-03-25,2175,0.96
2022-03-26,1834,1.04
2022-03-27,1299,0.5900000000000001
2022-03-28,1040,-0.15
2022-03-29,1434,-0.12
2022-03-30,1646,0.26
2022-03-31,1894,0.99
2022-04-01,1798,1.31
2022-04-02,2163,0.72
2022-04-03,1031,0.7
2022-04-04,1832,0.76
2022-04-05,2021,0.97
2022-04-06,1355,0.86
2022-04-07,950,0.91
2022-04-08,2536,1.28
2022-04-09,1901,1.14
2022-04-10,1489,0.86
2022-04-11,1917,0.8800000000000001
2022-04-12,2356,1.34
2022-04-13,2548,1.54
2022-04-14,2294,1.63
2022-04-15,2795,1.5699999999999998
2022-04-16,2303,1.5699999999999998
2022-04-17,1286,0.8300000000000001
2022-04-18,1460,0.79
2022-04-19,1624,0.76
2022-04-20,2332,0.94
2022-04-21,2115,1.06
2022-04-22,2808,1.46
2022-04-23,2895,1.33
2022-04-24,2622,1.28
2022-04-25,1909,1.04
2022-04-26,2026,1.15
2022-04-27,2068,1.16
2022-04-28,2082,0.82
2022-04-29,2351,1.04
2022-04-30,3066,1.29
2022-05-01,3111,1.36
2022-05-02,1549,1.21
2022-05-03,2416,1.24
2022-05-04,2151,1.2
2022-05-05,3089,1.72
2022-05-06,878,1.48
2022-05-07,573,1.0
2022-05-08,1517,1.04
2022-05-09,2342,1.35
2022-05-10,2607,1.54
2022-05-11,2684,1.61
2022-05-12,2807,1.7100000000000002
2022-05-13,2506,1.6
2022-05-14,2193,1.7899999999999998
2022-05-15,3311,1.88
2022-05-16,2190,2.04
2022-05-17,3094,1.97
2022-05-18,3172,1.78
2022-05-19,2391,1.55
2022-05-20,2126,1.54
2022-05-21,3745,2.12
2022-05-22,3673,2.78
2022-05-23,2907,2.1
2022-05-24,2814,1.7399999999999998
2022-05-25,2982,1.62
2022-05-26,3002,1.64
2022-05-27,2229,2.02
2022-05-28,2359,2.04
2022-05-29,3145,2.07
2022-05-30,3271,2.33
2022-05-31,2799,2.83
2022-06-01,2279,1.78
2022-06-02,2659,2.03
2022-06-03,3520,1.95
2022-06-04,4190,2.19
2022-06-05,3929,2.0
2022-06-06,3155,2.22
2022-06-07,2899,2.18
2022-06-08,3515,2.37
2022-06-09,3369,2.44
2022-06-10,3664,2.18
2022-06-11,3986,2.18
2022-06-12,2985,2.05
2022-06-13,3407,2.42
2022-06-14,3658,2.39
2022-06-15,3815,2.33
2022-06-16,2781,2.03
2022-06-17,3892,2.52
2022-06-18,3529,2.17
2022-06-19,3374,1.73
2022-06-20,3755,2.05
2022-06-21,2932,2.21
2022-06-22,2733,1.91
2022-06-23,3311,1.92
2022-06-24,3759,2.19
2022-06-25,3979,2.58
2022-06-26,3833,2.7
2022-06-27,2319,2.43
2022-06-28,3577,2.24
2022-06-29,3680,2.39
2022-06-30,3581,2.54
2022-07-01,3338,2.81
2022-07-02,3238,2.87
2022-07-03,2915,2.69
2022-07-04,4390,2.56
2022-07-05,2812,2.59
2022-07-06,3408,2.6
2022-07-07,3415,2.42
2022-07-08,3044,2.35
2022-07-09,4249,2.47
2022-07-10,3705,2.34
2022-07-11,3147,2.4
2022-07-12,3246,2.58
2022-07-13,3663,2.89
2022-07-14,3667,2.66
2022-07-15,3682,2.6100000000000003
2022-07-16,3758,2.43
2022-07-17,3798,2.57
2022-07-18,2368,2.62
2022-07-19,3579,2.82
2022-07-20,3497,3.13
2022-07-21,3471,2.98
2022-07-22,3431,3.09
2022-07-23,3624,3.03
2022-07-24,3119,3.1100000000000003
2022-07-25,2757,2.98
2022-07-26,3497,2.59
2022-07-27,3606,2.55
2022-07-28,3543,2.67
2022-07-29,3470,2.82
2022-07-30,4119,2.67
2022-07-31,3757,2.63
2022-08-01,3061,2.31
2022-08-02,3558,2.64
2022-08-03,3804,2.76
2022-08-04,3600,2.91
2022-08-05,3987,2.93
2022-08-06,4076,2.96
2022-08-07,3517,2.96
2022-08-08,3288,3.03
2022-08-09,3488,3.13
2022-08-10,3876,2.72
2022-08-11,3617,2.66
2022-08-12,4108,2.56
2022-08-13,4253,2.31
2022-08-14,4143,2.4
2022-08-15,3631,2.43
2022-08-16,3860,2.3600000000000003
2022-08-17,3639,2.3600000000000003
2022-08-18,3804,2.41
2022-08-19,3652,2.63
2022-08-20,3923,2.79
2022-08-21,3790,2.53
